name,device,label,enabled,type,description
ether1,{},,True,1000base-t,
ether2,{},,True,1000base-t,
ether3,{},,True,1000base-t,
ether4,{},,True,1000base-t,
ether5,{},,True,1000base-t,
ether6,{},,True,1000base-t,
ether7,{},,True,1000base-t,
ether8,{},,True,1000base-t,
sfp1,{},,True,1000base-x-sfp,
bridge,{},,True,bridge,
